"SK_ID_CURR","TARGET_predicted_probability_of_notdefault_0","Target_Actual","Rate","Difference"
253759,0.7870872,0,78.70872,21.00872
251505,0.7110449,0,71.10449,13.40449
426946,0.7415194,0,74.15194,16.45194
126891,0.7311517,0,73.11517,15.41517
276169,0.59874475,0,59.874475,2.174475
367506,0.774541,0,77.4541,19.7541
324700,0.823812,0,82.3812,24.6812
246692,0.21588212,0,21.588212,-36.111788
456019,0.95023584,0,95.023584,37.323584
414754,0.5340975,0,53.40975,-4.29025
264775,0.30925757,0,30.925757,-26.774243
444909,0.4083435,0,40.83435,-16.86565
386194,0.24250686,0,24.250686,-33.449314
263504,0.8516285,0,85.16285,27.46285
304978,0.24076045,0,24.076045,-33.623955
288270,0.42778373,0,42.778373,-14.921627
293049,0.27675587,0,27.675587,-30.024413
285358,0.82970566,0,82.970566,25.270566
383743,0.6577027,0,65.77027,8.07026999999999
198676,0.29279393,0,29.279393,-28.420607
349980,0.73980844,0,73.980844,16.280844
103138,0.43833673,0,43.833673,-13.866327
188604,0.7589374,0,75.89374,18.19374
223095,0.88568604,0,88.568604,30.868604
223780,0.82390106,0,82.390106,24.690106
251340,0.8475079,0,84.75079,27.05079
188240,0.47290468,0,47.290468,-10.409532
437089,0.7021811,0,70.21811,12.51811
134963,0.69855917,0,69.855917,12.155917
338102,0.38871658,1,38.871658,-18.828342
151806,0.37082607,0,37.082607,-20.617393
248671,0.76450294,0,76.450294,18.750294
334232,0.7538557,0,75.38557,17.68557
309511,0.9252106,0,92.52106,34.82106
125247,0.7447366,0,74.47366,16.77366
390057,0.8083557,0,80.83557,23.13557
328964,0.5746207,0,57.46207,-0.237930000000006
176399,0.72049546,0,72.049546,14.349546
246056,0.5309992,0,53.09992,-4.60008000000001
440101,0.860427,0,86.0427,28.3427
344669,0.6448977,1,64.48977,6.78977
381607,0.5351552,0,53.51552,-4.18448
444531,0.8079562,0,80.79562,23.09562
125594,0.21925849,0,21.925849,-35.774151
454594,0.21722895,0,21.722895,-35.977105
105419,0.41586518,0,41.586518,-16.113482
109599,0.5501241,0,55.01241,-2.68759
125911,0.18946606,0,18.946606,-38.753394
105289,0.42152762,0,42.152762,-15.547238
293408,0.92073417,0,92.073417,34.373417
256775,0.3379073,0,33.79073,-23.90927
167748,0.7587757,0,75.87757,18.17757
102965,0.5790914,0,57.90914,0.209139999999998
396026,0.4001634,1,40.01634,-17.68366
357827,0.2240184,0,22.40184,-35.29816
153526,0.63371205,0,63.371205,5.67120499999999
389117,0.7043736,0,70.43736,12.73736
150016,0.7518919,0,75.18919,17.48919
236983,0.1576196,0,15.76196,-41.93804
